Package,LibPath,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,MD5sum,NeedsCompilation,Built
ashr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.2-63,NA,R (>= 3.1.0),"Matrix, stats, graphics, Rcpp (>= 0.10.5), truncnorm, mixsqp,
SQUAREM, etrunct, invgamma",Rcpp,"testthat, knitr, rmarkdown, ggplot2, REBayes",NA,GPL (>= 3),NA,NA,NA,NA,yes,4.3.3
askpass,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.1,NA,NA,sys (>= 2.1),NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
assertthat,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.2.1,NA,NA,tools,NA,"testthat, covr",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
babelgene,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,22.9,NA,R (>= 3.4),"dplyr, methods, rlang",NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
backports,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.5.0,NA,R (>= 3.0.0),NA,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
base,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.3.3,base,NA,NA,NA,methods,NA,Part of R 4.3.3,NA,NA,NA,NA,NA,4.3.3
base64enc,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1-3,NA,R (>= 2.9.0),NA,NA,NA,png,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
batchelor,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.19.1,NA,SingleCellExperiment,"SummarizedExperiment, S4Vectors, BiocGenerics, Rcpp, stats,
methods, utils, igraph, BiocNeighbors, BiocSingular, Matrix,
DelayedArray, DelayedMatrixStats, BiocParallel, scuttle,
ResidualMatrix, ScaledMatrix, beachmat",Rcpp,"testthat, BiocStyle, knitr, rmarkdown, scran, scater,
bluster, scRNAseq",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
bayestestR,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.15.3,NA,R (>= 3.6),"insight (>= 1.1.0), datawizard (>= 1.0.2), graphics, methods,
stats, utils",NA,"BayesFactor (>= 0.9.12-4.4), bayesQR, bayesplot, betareg, BH,
blavaan, bridgesampling, brms, collapse, curl, effectsize,
emmeans, gamm4, ggdist, ggplot2, glmmTMB, httr2, KernSmooth,
knitr, lavaan, lme4, logspline (>= 2.1.21), marginaleffects (>=
0.25.0), MASS, mclust, mediation, modelbased, ordbetareg,
parameters, patchwork, performance, posterior, quadprog,
RcppEigen, rmarkdown, rstan, rstanarm, see (>= 0.8.5),
testthat, tweedie, withr",NA,GPL-3,NA,NA,NA,NA,no,4.3.3
beachmat,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.18.1,NA,NA,"methods, DelayedArray (>= 0.27.2), SparseArray, BiocGenerics,
Matrix, Rcpp",Rcpp,"testthat, BiocStyle, knitr, rmarkdown, rcmdcheck,
BiocParallel, HDF5Array",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
beeswarm,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4.0,NA,NA,"stats, graphics, grDevices, utils",NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,yes,4.3.3
BH,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.87.0-1,NA,NA,NA,NA,NA,NA,BSL-1.0,NA,NA,NA,NA,no,4.3.3
binom,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1-1.1,NA,NA,NA,NA,"lattice, polynom, tcltk, ggplot2",NA,GPL,NA,NA,NA,NA,yes,4.3.3
Biobase,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.62.0,NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils",methods,NA,"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.3.2
BiocFileCache,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.10.2,NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, filelock, curl,
httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
BiocGenerics,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.48.1,NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.2
BiocIO,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.12.0,NA,R (>= 4.3.0),"BiocGenerics, S4Vectors, methods, tools",NA,"testthat, knitr, rmarkdown, BiocStyle",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.2
BiocManager,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.30.25,NA,NA,utils,NA,"BiocVersion, BiocStyle, remotes, rmarkdown, testthat, withr,
curl, knitr",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
BiocNeighbors,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.20.2,NA,NA,"Rcpp, S4Vectors, BiocParallel, stats, methods, Matrix","Rcpp, RcppHNSW","testthat, BiocStyle, knitr, rmarkdown, FNN, RcppAnnoy,
RcppHNSW",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
BiocParallel,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.36.0,NA,"methods, R (>= 3.5.0)","stats, utils, futile.logger, parallel, snow, codetools","BH, cpp11","BiocGenerics, tools, foreach, BBmisc, doParallel,
GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, RUnit, BiocStyle,
knitr, batchtools, data.table",Rmpi,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.2
BiocSingular,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.18.0,NA,NA,"BiocGenerics, S4Vectors, Matrix, methods, utils, DelayedArray,
BiocParallel, ScaledMatrix, irlba, rsvd, Rcpp, beachmat","Rcpp, beachmat","testthat, BiocStyle, knitr, rmarkdown, ResidualMatrix",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
BiocVersion,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.18.1,NA,R (>= 4.3.0),NA,NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
biomaRt,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.58.2,NA,methods,"utils, XML (>= 3.99-0.7), AnnotationDbi, progress, stringr,
httr, digest, BiocFileCache, rappdirs, xml2",NA,"BiocStyle, knitr, mockery, rmarkdown, testthat, webmockr",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
Biostrings,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.70.3,NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.31.2), XVector (>= 0.37.1),
GenomeInfoDb","methods, utils, grDevices, graphics, stats, crayon","S4Vectors, IRanges, XVector","BSgenome (>= 1.13.14), BSgenome.Celegans.UCSC.ce2 (>=
1.3.11), BSgenome.Dmelanogaster.UCSC.dm3 (>= 1.3.11),
BSgenome.Hsapiens.UCSC.hg18, drosophila2probe, hgu95av2probe,
hgu133aprobe, GenomicFeatures (>= 1.3.14), hgu95av2cdf, affy
(>= 1.41.3), affydata (>= 1.11.5), RUnit, BiocStyle, knitr",Rmpi,Artistic-2.0,NA,NA,NA,NA,yes,4.3.3
biovizBase,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.50.0,NA,"R (>= 3.5.0), methods","grDevices, stats, scales, Hmisc, RColorBrewer, dichromat,
BiocGenerics, S4Vectors (>= 0.23.19), IRanges (>= 1.99.28),
GenomeInfoDb (>= 1.5.14), GenomicRanges (>= 1.23.21),
SummarizedExperiment, Biostrings (>= 2.33.11), Rsamtools (>=
1.17.28), GenomicAlignments (>= 1.1.16), GenomicFeatures (>=
1.21.19), AnnotationDbi, VariantAnnotation (>= 1.11.4),
ensembldb (>= 1.99.13), AnnotationFilter (>= 0.99.8), rlang",NA,"BSgenome.Hsapiens.UCSC.hg19,
TxDb.Hsapiens.UCSC.hg19.knownGene, BSgenome, rtracklayer,
EnsDb.Hsapiens.v75, RUnit",NA,Artistic-2.0,NA,NA,NA,NA,yes,4.3.3
bit,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.6.0,NA,R (>= 3.4.0),NA,NA,"testthat (>= 3.0.0), roxygen2, knitr, markdown, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
bit64,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.6.0-1,NA,"R (>= 3.4.0), bit (>= 4.0.0)","graphics, methods, stats, utils",NA,"testthat (>= 3.0.3), withr",NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
bitops,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0-9,NA,NA,NA,NA,NA,NA,GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
blob,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.2.4,NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.1
bluster,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.12.0,NA,NA,"stats, methods, utils, cluster, Matrix, Rcpp, igraph,
S4Vectors, BiocParallel, BiocNeighbors",Rcpp,"knitr, rmarkdown, testthat, BiocStyle, dynamicTreeCut,
scRNAseq, scuttle, scater, scran, pheatmap, viridis, mbkmeans,
kohonen, apcluster, DirichletMultinomial, vegan, fastcluster",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
boot,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.3-31,recommended,"R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,Unlimited,NA,NA,NA,NA,no,4.3.3
BPCells,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.1.0,NA,R (>= 3.5.0),"methods, grDevices, magrittr, Matrix, Rcpp, rlang, vctrs,
stringr, tibble, dplyr, tidyr, ggplot2, scales, patchwork,
scattermore, ggrepel, RColorBrewer, hexbin","Rcpp, RcppEigen","IRanges, GenomicRanges, matrixStats",NA,MIT,NA,NA,NA,NA,yes,4.3.3
brew,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0-10,NA,NA,NA,NA,testthat (>= 3.0.0),NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
brio,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1.5,NA,R (>= 3.6),NA,NA,"covr, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
broom,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.0.8,NA,R (>= 3.5),"backports, cli, dplyr (>= 1.0.0), generics (>= 0.0.2), glue,
lifecycle, purrr, rlang (>= 1.1.0), stringr, tibble (>= 3.0.0),
tidyr (>= 1.0.0)",NA,"AER, AUC, bbmle, betareg (>= 3.2-1), biglm, binGroup, boot,
btergm (>= 1.10.6), car (>= 3.1-2), carData, caret, cluster,
cmprsk, coda, covr, drc, e1071, emmeans, epiR, ergm (>=
3.10.4), fixest (>= 0.9.0), gam (>= 1.15), gee, geepack,
ggplot2, glmnet, glmnetUtils, gmm, Hmisc, irlba, interp,
joineRML, Kendall, knitr, ks, Lahman, lavaan (>= 0.6.18),
leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, margins, MASS, mclust, mediation, metafor, mfx,
mgcv, mlogit, modeldata, modeltests (>= 0.1.6), muhaz,
multcomp, network, nnet, ordinal, plm, poLCA, psych, quantreg,
rmarkdown, robust, robustbase, rsample, sandwich, spdep (>=
1.1), spatialreg, speedglm, spelling, survey, survival (>=
3.6-4), systemfit, testthat (>= 3.0.0), tseries, vars, zoo",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
BSgenome,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.70.2,NA,"R (>= 2.8.0), methods, BiocGenerics (>= 0.13.8), S4Vectors (>=
0.17.28), IRanges (>= 2.13.16), GenomeInfoDb (>= 1.25.6),
GenomicRanges (>= 1.31.10), Biostrings (>= 2.47.6), BiocIO,
rtracklayer (>= 1.39.7)","utils, stats, matrixStats, XVector, Rsamtools",NA,"BiocManager, Biobase, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.UCSC.hg38,
BSgenome.Hsapiens.UCSC.hg38.masked,
BSgenome.Mmusculus.UCSC.mm10, BSgenome.Rnorvegicus.UCSC.rn5,
BSgenome.Scerevisiae.UCSC.sacCer1,
BSgenome.Hsapiens.NCBI.GRCh38,
TxDb.Hsapiens.UCSC.hg38.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene,
SNPlocs.Hsapiens.dbSNP144.GRCh38,
XtraSNPlocs.Hsapiens.dbSNP144.GRCh38, hgu95av2probe, RUnit,
BSgenomeForge",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
BSgenome.Hsapiens.UCSC.hg38,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.4.5,NA,"R (>= 4.2.0), GenomeInfoDb (>= 1.34.9), BSgenome (>= 1.66.2)",NA,NA,NA,NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
bslib,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.9.0,NA,R (>= 2.10),"base64enc, cachem, fastmap (>= 1.1.1), grDevices, htmltools
(>= 0.5.8), jquerylib (>= 0.1.3), jsonlite, lifecycle, memoise
(>= 2.0.1), mime, rlang, sass (>= 0.4.9)",NA,"bsicons, curl, fontawesome, future, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (> 1.8.1), testthat,
thematic, tools, utils, withr, yaml",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
BuenColors,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.5.6,NA,"MASS, ggplot2, grDevices, graphics, R (>= 3.0)",NA,NA,knitr,NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
cachem,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1.0,NA,NA,"rlang, fastmap (>= 1.2.0)",NA,testthat,NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
cacoa,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4.0,NA,"R (>= 3.5.0), Matrix","ape, candisc, cowplot, dplyr, ggplot2, ggrepel, grDevices,
igraph, ks, magrittr, MASS, matrixTests, methods, plyr, R6,
reshape2, rlang, sccore (>= 1.0.0), tibble, tidyr, tidytree","Rcpp, RcppArmadillo, RcppEigen, RcppProgress, sccore","abind, BiocParallel, cluster, clusterProfiler (>= 3.0.0),
coda.base, conos, DESeq2, DOSE, e1071, edgeR, EnhancedVolcano,
enrichplot, entropy, fabia, ggdendro, ggrastr (>= 0.1.7),
ggtree, GOfuncR, graph, irlba, jsonlite, leidenAlg, limma,
matrixStats (>= 0.60.1), N2R, pagoda2, psych, purrr, quadprog,
RColorBrewer, Rgraphviz, Rtsne, scales, scran, Seurat,
SummarizedExperiment, testthat (>= 3.1.0), viridis",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
Cairo,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.6-2,NA,R (>= 2.4.0),"grDevices, graphics",NA,png,FastRWeb,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
callr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.7.6,NA,R (>= 3.4),"processx (>= 3.6.1), R6, utils",NA,"asciicast (>= 2.3.1), cli (>= 1.1.0), mockery, ps, rprojroot,
spelling, testthat (>= 3.2.0), withr (>= 2.3.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
candisc,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.9.0,NA,"R (>= 3.5.0), heplots (>= 0.8-6)","car, graphics, stats",NA,"rgl, carData, corrplot, knitr, rmarkdown, MASS, rpart,
rpart.plot",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
car,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.1-3,NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, Formula, MASS, mgcv, nnet, pbkrtest (>= 0.4-4),
quantreg, grDevices, utils, stats, graphics, lme4 (>=
1.1-27.1), nlme, scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, ordinal, plotrix, mvtnorm, rgl (>= 0.111.3), rio,
sandwich, SparseM, survival, survey",NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
carData,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.0-5,NA,R (>= 3.5.0),NA,NA,car (>= 3.0-0),NA,GPL (>= 2),NA,NA,NA,NA,no,4.3.3
caTools,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.18.3,NA,R (>= 3.6.0),bitops,NA,"MASS, rpart",NA,GPL-3,NA,NA,NA,NA,yes,4.3.3
celda,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.18.2,NA,"R (>= 4.0), SingleCellExperiment, Matrix","plyr, foreach, ggplot2, RColorBrewer, grid, scales, gtable,
grDevices, graphics, matrixStats, doParallel, digest, methods,
reshape2, S4Vectors, data.table, Rcpp, RcppEigen, uwot,
enrichR, SummarizedExperiment, MCMCprecision, ggrepel, Rtsne,
withr, scater (>= 1.14.4), scran, dbscan, DelayedArray,
stringr, ComplexHeatmap, gridExtra, circlize","Rcpp, RcppEigen","testthat, knitr, roxygen2, rmarkdown, biomaRt, covr,
BiocManager, BiocStyle, TENxPBMCData, singleCellTK,
M3DExampleData",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
cellranger,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.1.0,NA,R (>= 3.0.0),"rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
checkmate,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.3.2,NA,R (>= 3.0.0),"backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,BSD_3_clause + file LICENSE,NA,NA,NA,NA,yes,4.3.3
chromVAR,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,1.24.0,NA,R (>= 3.5.0),"IRanges, GenomeInfoDb, GenomicRanges, ggplot2, nabor,
BiocParallel, BiocGenerics, Biostrings, TFBSTools, Rsamtools,
S4Vectors, methods, Rcpp, grid, plotly, shiny, miniUI, stats,
utils, graphics, DT, Rtsne, Matrix, SummarizedExperiment,
RColorBrewer, BSgenome","Rcpp, RcppArmadillo","JASPAR2016, BSgenome.Hsapiens.UCSC.hg19, readr, testthat,
knitr, rmarkdown, pheatmap, motifmatchr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
circlize,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.4.16,NA,"R (>= 4.0.0), graphics","GlobalOptions (>= 0.1.2), shape, grDevices, utils, stats,
colorspace, methods, grid",NA,"knitr, dendextend (>= 1.0.1), ComplexHeatmap (>= 2.0.0),
gridBase, png, markdown, bezier, covr, rmarkdown",NA,MIT + file LICENSE,NA,NA,NA,NA,no,4.3.3
class,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,7.3-23,recommended,"R (>= 3.0.0), stats, utils",MASS,NA,NA,NA,GPL-2 | GPL-3,NA,NA,NA,NA,yes,4.3.3
cli,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,3.6.5,NA,R (>= 3.4),utils,NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, processx, ps (>=
1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat (>= 3.2.0), tibble, whoami, withr",NA,MIT + file LICENSE,NA,NA,NA,NA,yes,4.3.3
clipr,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.8.0,NA,NA,utils,NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,GPL-3,NA,NA,NA,NA,no,4.3.1
clue,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,0.3-66,NA,R (>= 3.2.0),"stats, cluster, graphics, methods",NA,"e1071, lpSolve (>= 5.5.7), quadprog (>= 1.4-8), relations","RWeka, ape, cba, cclust, flexclust, flexmix, kernlab, mclust,
movMF, modeltools",GPL-2,NA,NA,NA,NA,yes,4.3.3
cluster,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,2.1.8.1,recommended,R (>= 3.5.0),"graphics, grDevices, stats, utils",NA,"MASS, Matrix","mvoutlier, fpc, ellipse, sfsmisc",GPL (>= 2),NA,NA,NA,NA,yes,4.3.3
clusterProfiler,/rds/general/user/mlattke/home/anaconda3/envs/R43_240426/lib/R/library,4.10.1,NA,R (>= 3.5.0),"AnnotationDbi, downloader, DOSE (>= 3.23.2), dplyr, enrichplot
(>= 1.9.3), GO.db, GOSemSim (>= 2.27.2), gson (>= 0.0.7), httr,
igraph, magrittr, methods, plyr, qvalue, rlang, stats, tidyr,
utils, yulab.utils (>= 0.0.7)",NA,"AnnotationHub, knitr, jsonlite, readr, rmarkdown,
org.Hs.eg.db, prettydoc, BiocManager, testthat",NA,Artistic-2.0,NA,NA,NA,NA,no,4.3.3
